Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_075,RTA Taxi Rank Burj Khalifa/ Dubai Mall Metro Station Landside A,Burj Khalifa,مواقف مركبات الأجرة محطة مترو برج خليفة / دبي مول جنوب A,برج خليفة,25.200089,55.268402,Taxi stand
TXR_076,RTA Taxi Rank Burj Khalifa/ Dubai Mall Metro Station Landside B,Burj Khalifa,مواقف مركبات الأجرة برج خليفة / محطة مترو دبي مول جنوب B,برج خليفة,25.200639,55.269566,Taxi stand
TXR_077,RTA Taxi Rank Business Bay Metro Station Seaside,Business Bay,مواقف مركبات الأجرة محطة مترو الخليج التجاري شمال,الخليج التجاري,25.192325,55.259923,Taxi stand
TXR_078,RTA Taxi Rank Business Bay Metro Station Landside,Business Bay,مواقف مركبات الأجرة محطة مترو الخليج التجاري جنوب,الخليج التجاري,25.190709,55.260044,Taxi stand
TXR_079,RTA Taxi Rank Onpassive Metro Station Seaside,Al Safa Second,مواقف مركبات الأجرة محطة مترو أون باسيف شمال,الصفا 2,25.155317,55.227051,Taxi stand
TXR_080,RTA Taxi Rank Onpassive Metro Station Landside,Al Qouz Ind.First,مواقف مركبات الأجرة محطة مترو أون باسيف جنوب,القوز الصناعية 1,25.155397,55.228621,Taxi stand
TXR_081,RTA Taxi Rank Equity Metro Station Seaside ,Al Quoz Industrial Area 3,مواقف مركبات الأجرة محطة مترو إكويتي شمال,القوز الصناعية 3,25.126436,55.205747,Taxi stand
TXR_082,RTA Taxi Rank Equity Metro Station Landside,Al Quoz Industrial Area 3,مواقف مركبات الأجرة محطة مترو إكويتي جنوب,القوز الصناعية 3,25.126577,55.208186,Taxi stand
TXR_083,RTA Taxi Rank Mall Of The Emirates Metro Station Landside,Al Barsha First,مواقف مركبات الأجرة محطة مترو مول الإمارات جنوب ,البرشاء 1,25.120161,55.201598,Taxi stand
TXR_084,RTA Taxi Rank Mashreq Metro Station Seaside,Al Safouh First,مواقف مركبات الأجرة محطة مترو المشرق شمال,الصفوح 1,25.115386,55.190077,Taxi stand
TXR_085,RTA Taxi Rank Mashreq Metro Station Landside,Al Barsha First,مواقف مركبات الأجرة محطة مترو المشرق جنوب,البرشاء 1,25.11459,55.191135,Taxi stand
TXR_086,RTA Taxi Rank Dubai Internet City Metro Station Landside,Al Thanyah First,مواقف مركبات الأجرة محطة مترو مدينة دبي للإنترنت جنوب,الثنية 1,25.099459,55.172341,Taxi stand
TXR_087,RTA Taxi Rank Dubai Internet City Metro Station Seaside,Al Thanyah First,مواقف مركبات الأجرة محطة مترو مدينة دبي للإنترنت شمال,الثنية 1,25.101936,55.171947,Taxi stand
TXR_088,RTA Taxi Rank Al Khail Metro Station Seaside,Al Safouh Second,مواقف مركبات الأجرة محطة مترو الخيل شمال,الصفوح 2,25.089324,55.156815,Taxi stand
TXR_089,RTA Taxi Rank Al Khail Metro Station Landside,Al Thanyah Third,مواقف مركبات الأجرة محطة مترو الخيل جنوب,الثنية 3,25.089288,55.158908,Taxi stand
TXR_090,RTA Taxi Rank Sobha Realty Metro Station Seaside,Al Thanyah Fifth,مواقف مركبات الأجرة محطة مترو شوبا العقارية شمال,الثنية 5,25.081455,55.14712,Taxi stand
TXR_091,RTA Taxi Rank DMCC Metro Station Seaside,Dubai Marina,مواقف مركبات الأجرة محطة مترو مركز دبي للسلع المتعددة شمال,مرسى دبي,25.071525,55.137381,Taxi stand
TXR_092,RTA Taxi Rank Energy Metro Station Seaside,Jabal Ali Third,مواقف مركبات الأجرة محطة مترو الطاقة شمال,جبل علي 3,25.026041,55.09971,Taxi stand
TXR_093,RTA Taxi Rank Energy Metro Station Landside,Jabal Ali First,مواقف مركبات الأجرة محطة مترو الطاقة جنوب,جبل علي 1,25.025308,55.101136,Taxi stand
TXR_094,RTA Taxi Rank Danube Metro Station Landside,Jabal Ali Industrial First,مواقف مركبات الأجرة محطة مترو الدانوب,جبل علي الصناعية 1,25.000319,55.09595,Taxi stand
TXR_095,RTA Taxi Rank Dubai Airport Free Zone Metro Station 1,Al Qusais First,مواقف مركبات الأجرة محطة مترو المنطقة الحرة بمطار دبي 1,القصيص 1,25.268897,55.375557,Taxi stand
TXR_096,RTA Taxi Rank Al Qusais Metro Station 1,Al Tawar ,مواقف مركبات الأجرة محطة مترو القصيص 1,الطوار,25.262687,55.386166,Taxi stand
TXR_097,RTA Taxi Rank Al Nahda Metro Station 1,Al Qusais First,مواقف مركبات الأجرة محطة مترو النهضة 1,القصيص 1,25.273472,55.368161,Taxi stand
TXR_098,RTA Taxi Rank Stadium Metro Station 1,Al Qusais First,مواقف مركبات الأجرة محطة مترو الاستاد 1,القصيص 1,25.276397,55.362748,Taxi stand
TXR_099,RTA Taxi Rank Stadium Metro Station 2,Al Qusais First,مواقف مركبات الأجرة محطة مترو الاستاد 2,القصيص 1,25.278733,55.361222,Taxi stand
TXR_100,RTA Taxi Rank Al Qiyadah Metro Station Seaside,Al Twar First,مواقف مركبات الأجرة محطة مترو القيادة شمال,الطوار 1,25.279183,55.352021,Taxi stand
